          Teff = 3500 K,  log g = 0.0,  [M/H] = -4.5

                V    33    0.590 (0.0534)    0.700  0.166 (0.0051)    0.341  0.415 (0.0088)
                V1   34    0.600 (0.0512)    0.706  0.159 (0.0051)    0.361  0.398 (0.0089)
                G    35    0.548 (0.0634)    0.678  0.196 (0.0055)    0.254  0.489 (0.0086)
 Vilnius        U    36    0.656 (0.0307)    0.734  0.117 (0.0151)    0.480  0.293 (0.0207)
                P    37    0.756 (0.0152)    0.752 -0.006 (0.0144)    0.766 -0.016 (0.0141)
                X    38    0.815 (0.0325)    0.757 -0.087 (0.0091)    0.946 -0.218 (0.0049)
                Y    39    0.712 (0.0159)    0.747  0.052 (0.0065)    0.635  0.129 (0.0085)
                Z    40    0.632 (0.0425)    0.721  0.133 (0.0051)    0.432  0.333 (0.0090)
                V    41    0.592 (0.0535)    0.703  0.166 (0.0051)    0.343  0.415 (0.0089)
                S    42    0.468 (0.0765)    0.625  0.235 (0.0064)    0.116  0.587 (0.0083)
 Milone         iz   43    0.331 (0.0731)    0.477  0.220 (0.0083)    0.001  0.549 (0.0046)
                iJ   44    0.287 (0.0783)    0.442  0.232 (0.0110)   -0.060  0.579 (0.0032)
                iH   45    0.218 (0.0910)    0.387  0.254 (0.0218)   -0.163  0.634 (0.0096)
                iK   46    0.179 (0.0771)    0.320  0.212 (0.0192)   -0.140  0.531 (0.0090)
 YMS94         iz    47    0.331 (0.0731)    0.477  0.220 (0.0083)    0.001  0.549 (0.0046)
               iJ    48    0.287 (0.0783)    0.442  0.232 (0.0110)   -0.060  0.579 (0.0032)
               iH    49    0.218 (0.0910)    0.387  0.254 (0.0217)   -0.163  0.634 (0.0096)
               iK    50    0.179 (0.0771)    0.320  0.212 (0.0192)   -0.140  0.531 (0.0090)
               iL    51    0.129 (0.0557)    0.236  0.160 (0.0100)   -0.110  0.400 (0.0029)
               iLp   52    0.124 (0.0526)    0.226  0.153 (0.0084)   -0.106  0.383 (0.0019)
               iM    53    0.112 (0.0442)    0.201  0.133 (0.0052)   -0.088  0.333 (0.0018)
               in    54    0.080 (0.0151)    0.109  0.044 (0.0035)    0.013  0.111 (0.0017)
               iN    55    0.071 (0.0132)    0.096  0.037 (0.0037)    0.015  0.093 (0.0021)
 Sloan DSS      u    56    0.705 (0.0145)    0.742  0.055 (0.0146)    0.623  0.137 (0.0172)
                g    57    0.693 (0.0202)    0.737  0.066 (0.0057)    0.595  0.164 (0.0082)
                r    58    0.505 (0.0703)    0.649  0.216 (0.0060)    0.181  0.540 (0.0083)
                i    59    0.400 (0.0801)    0.564  0.245 (0.0070)    0.033  0.613 (0.0075)
                z    60    0.358 (0.0753)    0.510  0.228 (0.0076)    0.016  0.570 (0.0057)
 HST STIS Ly_alpha   61    0.804 (0.0812)    0.587 -0.326 (0.0329)    1.293 -0.815 (0.0478)
            Fclear   62    0.589 (0.0234)    0.613  0.036 (0.0150)    0.536  0.089 (0.0134)
             Fsrf2   63    0.588 (0.0240)    0.613  0.038 (0.0151)    0.531  0.094 (0.0134)
              Fqtz   64    0.602 (0.0184)    0.611  0.014 (0.0157)    0.581  0.035 (0.0150)
              CIII   65    0.762 (0.0611)    0.593 -0.253 (0.0287)    1.141 -0.632 (0.0401)
              MgII   66    0.821 (0.0674)    0.670 -0.226 (0.0069)    1.161 -0.566 (0.0176)
            Nclear   67    0.820 (0.0717)    0.648 -0.258 (0.0135)    1.206 -0.644 (0.0258)
             Nsrf2   68    0.819 (0.0710)    0.649 -0.255 (0.0134)    1.202 -0.638 (0.0256)
              Nqtz   69    0.822 (0.0734)    0.646 -0.264 (0.0142)    1.218 -0.661 (0.0268)
             cn182   70    0.793 (0.0578)    0.649 -0.217 (0.0146)    1.119 -0.543 (0.0246)
             cn270   71    0.842 (0.0827)    0.649 -0.290 (0.0137)    1.277 -0.725 (0.0276)
            Oclear   72    0.540 (0.0525)    0.649  0.163 (0.0042)    0.294  0.409 (0.0077)
         Oclear-lp   73    0.441 (0.0748)    0.593  0.229 (0.0066)    0.098  0.572 (0.0075)
             [OII]   74    0.750 (0.0150)    0.759  0.013 (0.0177)    0.731  0.032 (0.0183)
            [OIII]   75    0.654 (0.0359)    0.730  0.113 (0.0054)    0.484  0.284 (0.0090)
 2MASS          J    76    0.289 (0.0781)    0.443  0.231 (0.0109)   -0.057  0.578 (0.0031)
 2MASS          H    77    0.217 (0.0904)    0.385  0.252 (0.0215)   -0.162  0.630 (0.0094)
 2MASS          Ks   78    0.181 (0.0778)    0.324  0.215 (0.0193)   -0.140  0.536 (0.0090)
 SWASP               79    0.602 (0.0444)    0.695  0.139 (0.0045)    0.394  0.348 (0.0083)
 MOST                80    0.584 (0.0484)    0.685  0.151 (0.0045)    0.358  0.378 (0.0083)
 GAIA (2006)    G    81    0.559 (0.0507)    0.664  0.158 (0.0043)    0.322  0.396 (0.0081)
 GAIA (2010)    G    82    0.530 (0.0567)    0.647  0.176 (0.0047)    0.267  0.439 (0.0080)
 GAIA (2010)    BP   83    0.616 (0.0404)    0.701  0.128 (0.0044)    0.425  0.319 (0.0084)
 GAIA (2010)    RP   84    0.401 (0.0782)    0.560  0.239 (0.0070)    0.043  0.597 (0.0071)
 GAIA (2010)  G_RV   85    0.364 (0.0779)    0.522  0.238 (0.0070)    0.007  0.595 (0.0066)
 Milone        230   86    0.865 (0.1092)    0.581 -0.425 (0.0376)    1.503 -1.064 (0.0572)
               250   87    0.872 (0.1057)    0.611 -0.392 (0.0274)    1.460 -0.981 (0.0459)
               270   88    0.841 (0.0821)    0.649 -0.287 (0.0133)    1.272 -0.718 (0.0271)
               290   89    0.795 (0.0519)    0.684 -0.166 (0.0030)    1.044 -0.415 (0.0096)
               310   90    0.740 (0.0201)    0.711 -0.043 (0.0089)    0.805 -0.108 (0.0070)
               330   91    0.687 (0.0156)    0.728  0.062 (0.0136)    0.595  0.154 (0.0166)
 CaII triplet  858   92    0.362 (0.0785)    0.522  0.240 (0.0069)    0.002  0.601 (0.0068)
 WIRE  Johnson V+R   93    0.506 (0.0671)    0.644  0.207 (0.0057)    0.196  0.516 (0.0082)
               LUT   94    0.756 (0.0241)    0.709 -0.070 (0.0043)    0.861 -0.174 (0.0012)
              TESS   95    0.416 (0.0764)    0.572  0.233 (0.0069)    0.066  0.583 (0.0072)


          Teff = 5750 K,  log g = 1.5,  [M/H] = -4.5

 bolometric           0    0.487 (0.0518)    0.592  0.158 (0.0047)    0.249  0.396 (0.0056)
 Stromgren      u     1    0.661 (0.0385)    0.755  0.142 (0.0165)    0.448  0.354 (0.0232)
                v     2    0.791 (0.0137)    0.774 -0.025 (0.0090)    0.829 -0.063 (0.0079)
                b     3    0.698 (0.0270)    0.755  0.085 (0.0061)    0.571  0.213 (0.0089)
                y     4    0.580 (0.0598)    0.703  0.184 (0.0058)    0.305  0.460 (0.0089)
 Johnson        U     5    0.732 (0.0154)    0.768  0.054 (0.0148)    0.650  0.136 (0.0175)
                B     6    0.740 (0.0111)    0.763  0.035 (0.0071)    0.688  0.086 (0.0085)
                V     7    0.581 (0.0588)    0.702  0.181 (0.0056)    0.309  0.453 (0.0089)
                R     8    0.456 (0.0759)    0.612  0.234 (0.0061)    0.106  0.584 (0.0087)
                I     9    0.366 (0.0768)    0.523  0.236 (0.0063)    0.013  0.589 (0.0076)
                J    10    0.291 (0.0770)    0.444  0.229 (0.0098)   -0.053  0.573 (0.0038)
                K    11    0.183 (0.0758)    0.323  0.211 (0.0179)   -0.133  0.527 (0.0078)
                L    12    0.136 (0.0563)    0.244  0.163 (0.0093)   -0.109  0.407 (0.0027)
                M    13    0.112 (0.0393)    0.194  0.122 (0.0026)   -0.071  0.306 (0.0036)
                N    14    0.077 (0.0124)    0.102  0.038 (0.0022)    0.020  0.095 (0.0010)
 Cousins        Rc   15    0.480 (0.0745)    0.632  0.229 (0.0062)    0.136  0.573 (0.0088)
                Ic   16    0.387 (0.0794)    0.550  0.245 (0.0060)    0.020  0.612 (0.0085)
 Bessell        UX   17    0.726 (0.0166)    0.766  0.061 (0.0149)    0.635  0.151 (0.0178)
 Bessell        BX   18    0.737 (0.0120)    0.762  0.038 (0.0070)    0.681  0.094 (0.0086)
 Bessell        B    19    0.740 (0.0110)    0.763  0.034 (0.0071)    0.689  0.085 (0.0085)
 Bessell        V    20    0.580 (0.0590)    0.701  0.182 (0.0057)    0.307  0.455 (0.0089)
 Bessell        R    21    0.479 (0.0744)    0.631  0.229 (0.0061)    0.135  0.572 (0.0088)
 Bessell        I    22    0.382 (0.0789)    0.544  0.243 (0.0060)    0.018  0.608 (0.0084)
 Tycho         TyB   23    0.766 (0.0077)    0.771  0.007 (0.0085)    0.756  0.016 (0.0088)
               TyV   24    0.604 (0.0533)    0.714  0.165 (0.0054)    0.356  0.413 (0.0091)
 Hipparchos    HIP   25    0.640 (0.0381)    0.720  0.121 (0.0050)    0.459  0.302 (0.0089)
 KEPLER              26    0.532 (0.0621)    0.660  0.192 (0.0053)    0.243  0.480 (0.0088)
 COROT SIS           27    0.537 (0.0584)    0.658  0.181 (0.0049)    0.265  0.453 (0.0087)
 COROT EXO           28    0.530 (0.0596)    0.653  0.185 (0.0050)    0.253  0.462 (0.0087)
 Geneva         U    29    0.673 (0.0332)    0.756  0.124 (0.0163)    0.487  0.310 (0.0223)
                B    30    0.766 (0.0076)    0.770  0.006 (0.0083)    0.758  0.014 (0.0086)
                B1   31    0.795 (0.0165)    0.775 -0.031 (0.0102)    0.841 -0.076 (0.0088)
                B2   32    0.729 (0.0162)    0.763  0.051 (0.0069)    0.652  0.129 (0.0088)
                V    33    0.581 (0.0590)    0.702  0.182 (0.0057)    0.308  0.454 (0.0089)
                V1   34    0.591 (0.0572)    0.708  0.176 (0.0057)    0.327  0.440 (0.0089)
                G    35    0.541 (0.0673)    0.679  0.207 (0.0060)    0.230  0.517 (0.0089)
 Vilnius        U    36    0.670 (0.0338)    0.754  0.126 (0.0162)    0.481  0.315 (0.0222)
                P    37    0.742 (0.0141)    0.773  0.047 (0.0155)    0.671  0.117 (0.0177)
                X    38    0.798 (0.0170)    0.775 -0.035 (0.0095)    0.851 -0.088 (0.0080)
                Y    39    0.699 (0.0267)    0.755  0.084 (0.0061)    0.572  0.211 (0.0089)
                Z    40    0.622 (0.0499)    0.724  0.154 (0.0055)    0.390  0.386 (0.0090)
                V    41    0.583 (0.0591)    0.705  0.182 (0.0057)    0.311  0.455 (0.0089)
                S    42    0.465 (0.0778)    0.624  0.239 (0.0062)    0.105  0.599 (0.0090)
 Milone         iz   43    0.327 (0.0728)    0.474  0.221 (0.0071)   -0.005  0.552 (0.0059)
                iJ   44    0.288 (0.0769)    0.441  0.229 (0.0098)   -0.055  0.572 (0.0040)
                iH   45    0.218 (0.0896)    0.386  0.251 (0.0210)   -0.157  0.626 (0.0090)
                iK   46    0.179 (0.0747)    0.318  0.207 (0.0176)   -0.132  0.518 (0.0077)
 YMS94         iz    47    0.327 (0.0728)    0.474  0.221 (0.0071)   -0.005  0.552 (0.0059)
               iJ    48    0.288 (0.0769)    0.441  0.229 (0.0098)   -0.055  0.572 (0.0040)
               iH    49    0.218 (0.0896)    0.386  0.251 (0.0210)   -0.157  0.627 (0.0090)
               iK    50    0.179 (0.0747)    0.318  0.207 (0.0176)   -0.132  0.518 (0.0077)
               iL    51    0.130 (0.0531)    0.234  0.155 (0.0080)   -0.102  0.387 (0.0025)
               iLp   52    0.124 (0.0499)    0.223  0.148 (0.0063)   -0.098  0.371 (0.0024)
               iM    53    0.113 (0.0412)    0.198  0.127 (0.0032)   -0.078  0.318 (0.0034)
               in    54    0.079 (0.0121)    0.103  0.037 (0.0022)    0.024  0.091 (0.0009)
               iN    55    0.070 (0.0104)    0.090  0.030 (0.0024)    0.024  0.076 (0.0012)
 Sloan DSS      u    56    0.705 (0.0225)    0.762  0.086 (0.0158)    0.576  0.214 (0.0199)
                g    57    0.681 (0.0305)    0.745  0.097 (0.0057)    0.536  0.241 (0.0089)
                r    58    0.500 (0.0727)    0.649  0.224 (0.0061)    0.164  0.559 (0.0088)
                i    59    0.401 (0.0792)    0.563  0.244 (0.0061)    0.035  0.610 (0.0086)
                z    60    0.353 (0.0751)    0.506  0.230 (0.0064)    0.008  0.575 (0.0071)
 HST STIS Ly_alpha   61    0.879 (0.1173)    0.572 -0.460 (0.0413)    1.568 -1.150 (0.0625)
            Fclear   62    0.675 (0.0305)    0.582 -0.139 (0.0274)    0.884 -0.348 (0.0337)
             Fsrf2   63    0.673 (0.0300)    0.582 -0.137 (0.0274)    0.879 -0.343 (0.0336)
              Fqtz   64    0.688 (0.0353)    0.582 -0.159 (0.0280)    0.926 -0.398 (0.0352)
              CIII   65    0.847 (0.1045)    0.566 -0.422 (0.0425)    1.479 -1.054 (0.0616)
              MgII   66    0.846 (0.0711)    0.695 -0.228 (0.0036)    1.188 -0.569 (0.0127)
            Nclear   67    0.861 (0.0854)    0.660 -0.301 (0.0126)    1.311 -0.751 (0.0269)
             Nsrf2   68    0.860 (0.0848)    0.661 -0.298 (0.0125)    1.307 -0.746 (0.0268)
              Nqtz   69    0.863 (0.0874)    0.658 -0.308 (0.0131)    1.325 -0.769 (0.0278)
             cn182   70    0.843 (0.0808)    0.640 -0.304 (0.0207)    1.298 -0.759 (0.0347)
             cn270   71    0.873 (0.0899)    0.672 -0.303 (0.0089)    1.328 -0.757 (0.0233)
            Oclear   72    0.533 (0.0569)    0.651  0.177 (0.0046)    0.268  0.443 (0.0087)
         Oclear-lp   73    0.438 (0.0755)    0.593  0.232 (0.0062)    0.090  0.580 (0.0084)
             [OII]   74    0.732 (0.0190)    0.781  0.073 (0.0190)    0.623  0.181 (0.0225)
            [OIII]   75    0.643 (0.0443)    0.735  0.137 (0.0056)    0.437  0.344 (0.0090)
 2MASS          J    76    0.290 (0.0767)    0.442  0.229 (0.0097)   -0.053  0.572 (0.0040)
 2MASS          H    77    0.218 (0.0889)    0.384  0.249 (0.0207)   -0.155  0.622 (0.0088)
 2MASS          Ks   78    0.182 (0.0754)    0.322  0.210 (0.0178)   -0.132  0.524 (0.0079)
 SWASP               79    0.593 (0.0511)    0.699  0.159 (0.0050)    0.355  0.397 (0.0089)
 MOST                80    0.576 (0.0544)    0.688  0.169 (0.0051)    0.322  0.422 (0.0089)
 GAIA (2006)    G    81    0.551 (0.0560)    0.667  0.174 (0.0048)    0.290  0.436 (0.0088)
 GAIA (2010)    G    82    0.524 (0.0609)    0.649  0.189 (0.0050)    0.241  0.472 (0.0087)
 GAIA (2010)    BP   83    0.607 (0.0477)    0.706  0.149 (0.0049)    0.382  0.374 (0.0090)
 GAIA (2010)    RP   84    0.399 (0.0778)    0.559  0.239 (0.0062)    0.040  0.599 (0.0082)
 GAIA (2010)  G_RV   85    0.359 (0.0778)    0.519  0.240 (0.0059)   -0.001  0.600 (0.0081)
 Milone        230   86    0.932 (0.1387)    0.582 -0.525 (0.0402)    1.720 -1.313 (0.0647)
               250   87    0.917 (0.1211)    0.627 -0.434 (0.0240)    1.568 -1.086 (0.0447)
               270   88    0.872 (0.0891)    0.673 -0.299 (0.0085)    1.322 -0.749 (0.0227)
               290   89    0.817 (0.0538)    0.709 -0.162 (0.0054)    1.061 -0.406 (0.0053)
               310   90    0.760 (0.0209)    0.735 -0.037 (0.0124)    0.814 -0.091 (0.0107)
               330   91    0.704 (0.0180)    0.749  0.068 (0.0156)    0.603  0.169 (0.0188)
 CaII triplet  858   92    0.358 (0.0784)    0.519  0.242 (0.0057)   -0.006  0.605 (0.0082)
 WIRE  Johnson V+R   93    0.501 (0.0698)    0.644  0.215 (0.0058)    0.179  0.537 (0.0088)
               LUT   94    0.773 (0.0249)    0.727 -0.069 (0.0059)    0.876 -0.172 (0.0027)
              TESS   95    0.414 (0.0766)    0.570  0.235 (0.0062)    0.061  0.588 (0.0082)


          Teff = 5750 K,  log g = 2.0,  [M/H] = -4.5

 bolometric           0    0.485 (0.0548)    0.597  0.168 (0.0048)    0.233  0.420 (0.0067)
 Stromgren      u     1    0.675 (0.0428)    0.778  0.154 (0.0172)    0.443  0.386 (0.0244)
                v     2    0.769 (0.0104)    0.788  0.028 (0.0085)    0.726  0.071 (0.0097)
                b     3    0.680 (0.0394)    0.761  0.122 (0.0062)    0.497  0.305 (0.0095)
                y     4    0.568 (0.0667)    0.705  0.205 (0.0062)    0.260  0.513 (0.0098)
 Johnson        U     5    0.723 (0.0267)    0.788  0.097 (0.0152)    0.576  0.244 (0.0198)
                B     6    0.720 (0.0250)    0.773  0.080 (0.0069)    0.600  0.200 (0.0099)
                V     7    0.568 (0.0658)    0.704  0.203 (0.0061)    0.264  0.507 (0.0098)
                R     8    0.451 (0.0783)    0.612  0.243 (0.0057)    0.087  0.607 (0.0100)
                I     9    0.363 (0.0775)    0.523  0.241 (0.0053)    0.002  0.601 (0.0092)
                J    10    0.289 (0.0773)    0.444  0.232 (0.0091)   -0.058  0.579 (0.0048)
                K    11    0.183 (0.0754)    0.323  0.210 (0.0174)   -0.131  0.525 (0.0075)
                L    12    0.137 (0.0552)    0.245  0.161 (0.0082)   -0.105  0.404 (0.0029)
                M    13    0.114 (0.0376)    0.193  0.119 (0.0014)   -0.065  0.298 (0.0047)
                N    14    0.076 (0.0109)    0.098  0.034 (0.0014)    0.025  0.084 (0.0007)
 Cousins        Rc   15    0.473 (0.0775)    0.633  0.240 (0.0059)    0.113  0.600 (0.0100)
                Ic   16    0.385 (0.0799)    0.551  0.249 (0.0051)    0.012  0.622 (0.0100)
 Bessell        UX   17    0.719 (0.0273)    0.786  0.100 (0.0154)    0.570  0.250 (0.0201)
 Bessell        BX   18    0.717 (0.0259)    0.772  0.083 (0.0069)    0.593  0.207 (0.0098)
 Bessell        B    19    0.720 (0.0249)    0.773  0.080 (0.0070)    0.601  0.199 (0.0098)
 Bessell        V    20    0.567 (0.0660)    0.703  0.203 (0.0061)    0.262  0.508 (0.0098)
 Bessell        R    21    0.472 (0.0775)    0.632  0.240 (0.0059)    0.112  0.600 (0.0100)
 Bessell        I    22    0.380 (0.0795)    0.545  0.247 (0.0051)    0.009  0.619 (0.0099)
 Tycho         TyB   23    0.745 (0.0175)    0.783  0.057 (0.0082)    0.660  0.142 (0.0105)
               TyV   24    0.590 (0.0615)    0.717  0.190 (0.0060)    0.305  0.475 (0.0099)
 Hipparchos    HIP   25    0.624 (0.0485)    0.725  0.152 (0.0056)    0.396  0.380 (0.0101)
 KEPLER              26    0.521 (0.0677)    0.661  0.210 (0.0055)    0.206  0.525 (0.0099)
 COROT SIS           27    0.526 (0.0645)    0.660  0.201 (0.0053)    0.225  0.502 (0.0099)
 COROT EXO           28    0.520 (0.0655)    0.656  0.204 (0.0053)    0.214  0.509 (0.0099)
 Geneva         U    29    0.685 (0.0384)    0.778  0.140 (0.0171)    0.475  0.350 (0.0238)
                B    30    0.745 (0.0172)    0.782  0.056 (0.0080)    0.661  0.139 (0.0102)
                B1   31    0.774 (0.0100)    0.791  0.026 (0.0099)    0.735  0.064 (0.0110)
                B2   32    0.709 (0.0300)    0.772  0.094 (0.0067)    0.568  0.236 (0.0097)
                V    33    0.569 (0.0660)    0.704  0.203 (0.0061)    0.264  0.508 (0.0098)
                V1   34    0.578 (0.0646)    0.710  0.199 (0.0062)    0.280  0.497 (0.0097)
                G    35    0.531 (0.0726)    0.680  0.224 (0.0062)    0.195  0.559 (0.0099)
 Vilnius        U    36    0.684 (0.0382)    0.777  0.139 (0.0171)    0.476  0.347 (0.0237)
                P    37    0.727 (0.0265)    0.792  0.098 (0.0155)    0.580  0.244 (0.0201)
                X    38    0.776 (0.0091)    0.790  0.020 (0.0092)    0.746  0.051 (0.0101)
                Y    39    0.680 (0.0392)    0.761  0.122 (0.0062)    0.498  0.304 (0.0096)
                Z    40    0.607 (0.0587)    0.727  0.181 (0.0061)    0.336  0.452 (0.0097)
                V    41    0.571 (0.0662)    0.707  0.204 (0.0062)    0.265  0.509 (0.0097)
                S    42    0.458 (0.0805)    0.625  0.250 (0.0058)    0.083  0.624 (0.0104)
 Milone         iz   43    0.321 (0.0738)    0.472  0.226 (0.0062)   -0.018  0.565 (0.0074)
                iJ   44    0.286 (0.0770)    0.440  0.231 (0.0091)   -0.060  0.577 (0.0050)
                iH   45    0.219 (0.0891)    0.385  0.249 (0.0210)   -0.154  0.622 (0.0091)
                iK   46    0.180 (0.0743)    0.318  0.207 (0.0171)   -0.130  0.517 (0.0073)
 YMS94         iz    47    0.322 (0.0738)    0.472  0.226 (0.0062)   -0.018  0.565 (0.0074)
               iJ    48    0.286 (0.0770)    0.440  0.231 (0.0091)   -0.060  0.577 (0.0050)
               iH    49    0.219 (0.0891)    0.385  0.249 (0.0210)   -0.154  0.622 (0.0091)
               iK    50    0.180 (0.0743)    0.318  0.207 (0.0171)   -0.130  0.517 (0.0073)
               iL    51    0.132 (0.0520)    0.234  0.154 (0.0068)   -0.099  0.384 (0.0030)
               iLp   52    0.125 (0.0489)    0.224  0.148 (0.0050)   -0.096  0.369 (0.0034)
               iM    53    0.114 (0.0397)    0.197  0.125 (0.0019)   -0.073  0.312 (0.0046)
               in    54    0.078 (0.0105)    0.100  0.032 (0.0015)    0.030  0.081 (0.0007)
               iN    55    0.068 (0.0092)    0.087  0.028 (0.0016)    0.027  0.069 (0.0006)
 Sloan DSS      u    56    0.706 (0.0315)    0.783  0.116 (0.0165)    0.532  0.289 (0.0220)
                g    57    0.663 (0.0424)    0.751  0.132 (0.0060)    0.464  0.331 (0.0098)
                r    58    0.492 (0.0765)    0.649  0.236 (0.0060)    0.137  0.591 (0.0100)
                i    59    0.398 (0.0799)    0.564  0.249 (0.0052)    0.026  0.622 (0.0100)
                z    60    0.348 (0.0761)    0.505  0.236 (0.0053)   -0.005  0.589 (0.0088)
 HST STIS Ly_alpha   61    0.955 (0.1523)    0.566 -0.584 (0.0470)    1.831 -1.460 (0.0742)
            Fclear   62    0.808 (0.0951)    0.543 -0.398 (0.0473)    1.405 -0.995 (0.0653)
             Fsrf2   63    0.808 (0.0949)    0.543 -0.398 (0.0474)    1.404 -0.994 (0.0653)
              Fqtz   64    0.820 (0.0997)    0.543 -0.415 (0.0479)    1.442 -1.037 (0.0666)
              CIII   65    0.941 (0.1504)    0.546 -0.593 (0.0539)    1.830 -1.482 (0.0810)
              MgII   66    0.866 (0.0697)    0.725 -0.212 (0.0064)    1.183 -0.529 (0.0065)
            Nclear   67    0.897 (0.0955)    0.678 -0.329 (0.0100)    1.390 -0.822 (0.0258)
             Nsrf2   68    0.896 (0.0949)    0.679 -0.327 (0.0100)    1.387 -0.817 (0.0257)
              Nqtz   69    0.900 (0.0975)    0.677 -0.336 (0.0104)    1.404 -0.839 (0.0265)
             cn182   70    0.900 (0.1061)    0.636 -0.396 (0.0259)    1.494 -0.990 (0.0442)
             cn270   71    0.897 (0.0911)    0.701 -0.294 (0.0039)    1.338 -0.735 (0.0165)
            Oclear   72    0.524 (0.0626)    0.655  0.195 (0.0050)    0.231  0.489 (0.0099)
         Oclear-lp   73    0.432 (0.0777)    0.593  0.241 (0.0056)    0.071  0.602 (0.0098)
             [OII]   74    0.714 (0.0336)    0.799  0.128 (0.0187)    0.522  0.320 (0.0249)
            [OIII]   75    0.627 (0.0540)    0.738  0.166 (0.0061)    0.378  0.416 (0.0096)
 2MASS          J    76    0.288 (0.0769)    0.442  0.231 (0.0090)   -0.058  0.576 (0.0050)
 2MASS          H    77    0.219 (0.0884)    0.384  0.247 (0.0206)   -0.151  0.617 (0.0088)
 2MASS          Ks   78    0.183 (0.0750)    0.322  0.209 (0.0174)   -0.130  0.522 (0.0075)
 SWASP               79    0.580 (0.0592)    0.702  0.184 (0.0056)    0.304  0.459 (0.0099)
 MOST                80    0.563 (0.0618)    0.691  0.192 (0.0056)    0.276  0.479 (0.0099)
 GAIA (2006)    G    81    0.540 (0.0627)    0.670  0.195 (0.0053)    0.247  0.488 (0.0100)
 GAIA (2010)    G    82    0.514 (0.0664)    0.651  0.207 (0.0053)    0.204  0.516 (0.0099)
 GAIA (2010)    BP   83    0.593 (0.0564)    0.710  0.176 (0.0055)    0.329  0.440 (0.0101)
 GAIA (2010)    RP   84    0.396 (0.0789)    0.559  0.245 (0.0054)    0.028  0.613 (0.0097)
 GAIA (2010)  G_RV   85    0.355 (0.0786)    0.518  0.245 (0.0049)   -0.013  0.613 (0.0097)
 Milone        230   86    0.987 (0.1595)    0.597 -0.585 (0.0373)    1.865 -1.462 (0.0650)
               250   87    0.952 (0.1290)    0.654 -0.446 (0.0175)    1.621 -1.116 (0.0390)
               270   88    0.896 (0.0900)    0.703 -0.289 (0.0038)    1.330 -0.723 (0.0158)
               290   89    0.835 (0.0519)    0.738 -0.146 (0.0101)    1.054 -0.365 (0.0043)
               310   90    0.775 (0.0192)    0.762 -0.019 (0.0157)    0.804 -0.048 (0.0148)
               330   91    0.720 (0.0224)    0.775  0.083 (0.0175)    0.596  0.207 (0.0215)
 CaII triplet  858   92    0.354 (0.0791)    0.518  0.247 (0.0048)   -0.017  0.617 (0.0098)
 WIRE  Johnson V+R   93    0.493 (0.0738)    0.645  0.228 (0.0058)    0.150  0.571 (0.0099)
               LUT   94    0.788 (0.0237)    0.748 -0.060 (0.0082)    0.878 -0.150 (0.0054)
              TESS   95    0.409 (0.0782)    0.571  0.242 (0.0055)    0.045  0.606 (0.0096)


          Teff = 5750 K,  log g = 2.5,  [M/H] = -4.5

 bolometric           0    0.482 (0.0586)    0.603  0.181 (0.0048)    0.210  0.453 (0.0079)
 Stromgren      u     1    0.686 (0.0486)    0.799  0.171 (0.0166)    0.430  0.427 (0.0245)
                v     2    0.741 (0.0271)    0.800  0.087 (0.0082)    0.611  0.218 (0.0115)
                b     3    0.658 (0.0529)    0.767  0.164 (0.0066)    0.411  0.410 (0.0109)
                y     4    0.553 (0.0746)    0.707  0.231 (0.0064)    0.207  0.577 (0.0112)
 Johnson        U     5    0.712 (0.0397)    0.805  0.139 (0.0144)    0.503  0.349 (0.0209)
                B     6    0.695 (0.0409)    0.782  0.130 (0.0070)    0.500  0.325 (0.0114)
                V     7    0.553 (0.0738)    0.706  0.229 (0.0063)    0.210  0.572 (0.0113)
                R     8    0.443 (0.0816)    0.613  0.255 (0.0053)    0.061  0.638 (0.0117)
                I     9    0.359 (0.0789)    0.524  0.247 (0.0046)   -0.012  0.619 (0.0108)
                J    10    0.286 (0.0784)    0.444  0.236 (0.0085)   -0.068  0.590 (0.0058)
                K    11    0.183 (0.0759)    0.324  0.211 (0.0173)   -0.134  0.528 (0.0074)
                L    12    0.138 (0.0552)    0.246  0.163 (0.0074)   -0.107  0.407 (0.0033)
                M    13    0.115 (0.0367)    0.194  0.118 (0.0009)   -0.061  0.294 (0.0055)
                N    14    0.077 (0.0091)    0.095  0.028 (0.0012)    0.034  0.071 (0.0005)
 Cousins        Rc   15    0.464 (0.0816)    0.634  0.255 (0.0056)    0.082  0.636 (0.0117)
                Ic   16    0.383 (0.0811)    0.553  0.255 (0.0045)    0.000  0.638 (0.0116)
 Bessell        UX   17    0.712 (0.0392)    0.804  0.138 (0.0148)    0.504  0.346 (0.0212)
 Bessell        BX   18    0.693 (0.0417)    0.781  0.132 (0.0070)    0.495  0.330 (0.0114)
 Bessell        B    19    0.696 (0.0408)    0.782  0.129 (0.0070)    0.501  0.324 (0.0114)
 Bessell        V    20    0.552 (0.0739)    0.705  0.229 (0.0063)    0.208  0.573 (0.0113)
 Bessell        R    21    0.463 (0.0815)    0.633  0.254 (0.0056)    0.082  0.636 (0.0117)
 Bessell        I    22    0.377 (0.0807)    0.546  0.254 (0.0045)   -0.004  0.634 (0.0115)
 Tycho         TyB   23    0.720 (0.0343)    0.794  0.111 (0.0079)    0.553  0.277 (0.0121)
