   0.166168139D+02   0.202006435D+01  -0.767297800D+00   0.279650815D+00  -0.680088832D-01   0.856864199D-02   0.103431611D-02  -0.800593139D-03   0.183748098D-03  -0.179965891D-04
   0.180382405D+02   0.901234469D+00  -0.109003388D+00   0.382582701D-01  -0.104266905D-01   0.239514895D-02  -0.472796095D-03   0.770390632D-04  -0.925952028D-05   0.615890360D-06
  -0.151784709D+02   0.369714219D+02  -0.148613206D+02   0.369023688D+01  -0.580247589D+00   0.969722854D-02   0.328315311D-01  -0.155531344D-01   0.420051763D-02  -0.513661436D-03
   0.880753580D+01   0.809482379D+01  -0.255424125D+01   0.486080210D+00  -0.777755544D-01   0.147740192D-01  -0.253325343D-02   0.176877990D-03   0.524367273D-04  -0.128768130D-04
   0.140329899D+02   0.389574876D+01  -0.150366715D+01   0.378978879D+00  -0.618826423D-01   0.119420265D-01  -0.434248794D-02   0.120231586D-02  -0.158916736D-03   0.479200385D-05
   0.164612027D+02   0.176778278D+01  -0.619560061D+00   0.229466781D+00  -0.596006310D-01   0.984261142D-02  -0.311768955D-03  -0.348802757D-03   0.100063056D-03  -0.107060533D-04
   0.177459132D+02   0.865595019D+00  -0.888692814D-01   0.306946219D-01  -0.819046048D-02   0.183964478D-02  -0.356538080D-03   0.574799784D-04  -0.688840029D-05   0.459403102D-06
  -0.466182552D+01   0.174540318D+02   0.305516381D+01  -0.101753374D+02   0.894421547D+01  -0.553300025D+01   0.255131075D+01  -0.836225276D+00   0.175216147D+00  -0.178693900D-01
   0.990434196D+01   0.667262606D+01  -0.209760455D+01   0.355381567D+00  -0.282516734D-01  -0.906472263D-03   0.357759382D-03   0.187586610D-03  -0.912932588D-04   0.113968213D-04
   0.142066553D+02   0.319355601D+01  -0.122954342D+01   0.330125634D+00  -0.567806161D-01   0.978536510D-02  -0.377279971D-02   0.142540424D-02  -0.308115714D-03   0.294249221D-04
   0.162302827D+02   0.151824918D+01  -0.475479916D+00   0.180635828D+00  -0.510446509D-01   0.108002460D-01  -0.153102048D-02   0.801377379D-04   0.170735341D-04  -0.311691607D-05
   0.173788360D+02   0.828728852D+00  -0.684506242D-01   0.232361605D-01  -0.605638493D-02   0.132564980D-02  -0.251447025D-03   0.400421213D-04  -0.478598028D-05   0.320564670D-06
  -0.374498359D+01   0.221445716D+02  -0.842907866D+01   0.201162131D+01  -0.304812422D+00  -0.416911353D-01   0.634930176D-01  -0.294803724D-01   0.753347116D-02  -0.880972167D-03
   0.108797033D+02   0.520218855D+01  -0.159737689D+01   0.282137068D+00  -0.337620205D-01   0.476285364D-02  -0.691345275D-03   0.819639991D-04  -0.253022339D-04   0.469297787D-05
   0.142825984D+02   0.257945550D+01  -0.926214265D+00   0.239540817D+00  -0.342043618D-01   0.215402089D-02  -0.752774539D-03   0.546542041D-03  -0.156718955D-03   0.177683196D-04
   0.159721886D+02   0.134156467D+01  -0.366352017D+00   0.136892286D+00  -0.384877315D-01   0.834716136D-02  -0.131146331D-02   0.118119109D-03   0.936639051D-06  -0.118952617D-05
   0.170260365D+02   0.804237278D+00  -0.550189133D-01   0.183896728D-01  -0.468400158D-02   0.995799687D-03  -0.183263861D-03   0.284517736D-04  -0.334029511D-05   0.221267189D-06
  -0.448493909D+00   0.179864169D+02  -0.675586652D+01   0.157895846D+01  -0.250258112D+00  -0.189769691D-01   0.383535354D-01  -0.158783675D-01   0.338436659D-02  -0.322188003D-03
   0.114577304D+02   0.423786007D+01  -0.131670423D+01   0.229709703D+00  -0.186723831D-01  -0.188648324D-03   0.633991947D-03  -0.292940779D-03   0.595469472D-04  -0.386144830D-05
