




          Tables of Critical Omega Values for Inner and Outer Contact

                 (Synchronous and Non-synchronous Rotation)



      For synchronous rotation, Omega values serve for either star.

      For non-synchronous rotation, use tables as follows:

        1. Use directly for primary star.

        2. For secondary star, look up Omega for 1/q, rather than q.
           Then apply the transformation:

            Omega (secondary) = q Omega (table) - (q-1)/2 ,

           where q is the mass ratio before the reciprocal is taken.

**************************************************************************
q is mass ratio, M2/M1
F is rotation parameter (ratio of angular rotation to the synchronous rate.
**************************************************************************
   The first half of the tables covers mass ratios below 1. 
   Tables for mass ratio above 1 begin about halfway through
**************************************************************************


Starting q =   1.00000    Final q =  0.01000   dq = 0.01000

    F=  0.00000
 
        M2/M1          X1             Omega 1
       0.920000000    0.531919789    3.423996872
       0.910000000    0.533092140    3.407576860
       0.900000000    0.534277571    3.391112988
       0.890000000    0.535476359    3.374604484
       0.880000000    0.536688793    3.358050550
       0.870000000    0.537915171    3.341450366
       0.860000000    0.539155798    3.324803090
       0.850000000    0.540410994    3.308107851
       0.840000000    0.541681085    3.291363755
       0.830000000    0.542966411    3.274569878
       0.820000000    0.544267323    3.257725270
       0.810000000    0.545584183    3.240828949
       0.800000000    0.546917368    3.223879903
       0.790000000    0.548267266    3.206877087
       0.780000000    0.549634280    3.189819424
       0.770000000    0.551018829    3.172705798
       0.760000000    0.552421346    3.155535058
       0.750000000    0.553842280    3.138306014
       0.740000000    0.555282097    3.121017436
       0.730000000    0.556741283    3.103668050
       0.720000000    0.558220341    3.086256536
       0.710000000    0.559719793    3.068781531
       0.700000000    0.561240183    3.051241620
       0.690000000    0.562782078    3.033635335
       0.680000000    0.564346067    3.015961157
       0.670000000    0.565932764    2.998217506
       0.660000000    0.567542808    2.980402745
       0.650000000    0.569176866    2.962515170
       0.640000000    0.570835635    2.944553012
       0.630000000    0.572519841    2.926514432
       0.620000000    0.574230244    2.908397513
       0.610000000    0.575967638    2.890200262
       0.600000000    0.577732853    2.871920601
       0.590000000    0.579526760    2.853556362
       0.580000000    0.581350268    2.835105285
       0.570000000    0.583204335    2.816565010
       0.560000000    0.585089961    2.797933069
       0.550000000    0.587008201    2.779206884
       0.540000000    0.588960160    2.760383754
       0.530000000    0.590947003    2.741460853
       0.520000000    0.592969956    2.722435217
       0.510000000    0.595030310    2.703303735
       0.500000000    0.597129429    2.684063143
       0.490000000    0.599268751    2.664710006
       0.480000000    0.601449799    2.645240714
       0.470000000    0.603674181    2.625651462
       0.460000000    0.605943604    2.605938238
       0.450000000    0.608259877    2.586096808
       0.440000000    0.610624921    2.566122697
       0.430000000    0.613040779    2.546011170
       0.420000000    0.615509627    2.525757211
       0.410000000    0.618033785    2.505355498
       0.400000000    0.620615729    2.484800378
       0.390000000    0.623258110    2.464085837
       0.380000000    0.625963764    2.443205465
       0.370000000    0.628735737    2.422152425
       0.360000000    0.631577303    2.400919404
       0.350000000    0.634491986    2.379498572
       0.340000000    0.637483592    2.357881529
       0.330000000    0.640556234    2.336059242
       0.320000000    0.643714370    2.314021979
       0.310000000    0.646962844    2.291759232
       0.300000000    0.650306930    2.269259627
       0.290000000    0.653752387    2.246510824
       0.280000000    0.657305521    2.223499393
       0.270000000    0.660973260    2.200210682
       0.260000000    0.664763234    2.176628652
       0.250000000    0.668683883    2.152735689
       0.240000000    0.672744571    2.128512379
       0.230000000    0.676955734    2.103937242
       0.220000000    0.681329052    2.078986412
       0.210000000    0.685877658    2.053633251
       0.200000000    0.690616397    2.027847880
       0.190000000    0.695562144    2.001596598
       0.180000000    0.700734201    1.974841169
       0.170000000    0.706154798    1.947537920
       0.160000000    0.711849732    1.919636601
       0.150000000    0.717849200    1.891078912
       0.140000000    0.724188885    1.861796589
       0.130000000    0.730911417    1.831708849
       0.120000000    0.738068361    1.800718934
       0.110000000    0.745722993    1.768709325
       0.100000000    0.753954273    1.735534943
       0.090000000    0.762862707    1.701013179
       0.080000000    0.772579326    1.664908770
       0.070000000    0.783280044    1.626909795
       0.060000000    0.795209918    1.586587474
       0.050000000    0.808727124    1.543323996
       0.040000000    0.824390389    1.496170425
       0.030000000    0.843157092    1.443528246
       0.020000000    0.866931387    1.382278777
    F=  0.80000
 
        M2/M1          X1             Omega 1
       1.000000000    0.510807590    3.658053760
       0.990000000    0.511863463    3.641866514
       0.980000000    0.512930150    3.625641865
       0.970000000    0.514007865    3.609379223
       0.960000000    0.515096824    3.593077983
       0.950000000    0.516197252    3.576737524
       0.940000000    0.517309380    3.560357209
       0.930000000    0.518433446    3.543936385
       0.920000000    0.519569694    3.527474379
       0.910000000    0.520718379    3.510970502
       0.900000000    0.521879761    3.494424043
       0.890000000    0.523054109    3.477834274
       0.880000000    0.524241701    3.461200446
       0.870000000    0.525442823    3.444521787
       0.860000000    0.526657772    3.427797504
       0.850000000    0.527886853    3.411026782
       0.840000000    0.529130384    3.394208778
       0.830000000    0.530388689    3.377342628
       0.820000000    0.531662109    3.360427440
       0.810000000    0.532950992    3.343462295
       0.800000000    0.534255701    3.326446245
       0.790000000    0.535576610    3.309378314
       0.780000000    0.536914108    3.292257492
       0.770000000    0.538268597    3.275082740
       0.760000000    0.539640496    3.257852983
       0.750000000    0.541030236    3.240567110
       0.740000000    0.542438267    3.223223976
       0.730000000    0.543865055    3.205822393
       0.720000000    0.545311086    3.188361137
       0.710000000    0.546776863    3.170838936
       0.700000000    0.548262910    3.153254479
       0.690000000    0.549769770    3.135606403
       0.680000000    0.551298013    3.117893299
       0.670000000    0.552848228    3.100113704
       0.660000000    0.554421032    3.082266102
       0.650000000    0.556017066    3.064348919
       0.640000000    0.557637000    3.046360520
       0.630000000    0.559281535    3.028299206
       0.620000000    0.560951400    3.010163212
       0.610000000    0.562647359    2.991950701
       0.600000000    0.564370213    2.973659759
       0.590000000    0.566120797    2.955288396
       0.580000000    0.567899990    2.936834536
       0.570000000    0.569708709    2.918296012
       0.560000000    0.571547919    2.899670563
       0.550000000    0.573418635    2.880955831
       0.540000000    0.575321920    2.862149344
       0.530000000    0.577258894    2.843248523
       0.520000000    0.579230738    2.824250662
       0.510000000    0.581238695    2.805152929
       0.500000000    0.583284075    2.785952351
       0.490000000    0.585368265    2.766645808
       0.480000000    0.587492728    2.747230023
       0.470000000    0.589659015    2.727701545
       0.460000000    0.591868766    2.708056743
       0.450000000    0.594123725    2.688291789
       0.440000000    0.596425741    2.668402642
       0.430000000    0.598776782    2.648385035
       0.420000000    0.601178943    2.628234450
       0.410000000    0.603634460    2.607946106
       0.400000000    0.606145719    2.587514927
       0.390000000    0.608715273    2.566935525
       0.380000000    0.611345860    2.546202168
       0.370000000    0.614040415    2.525308746
       0.360000000    0.616802097    2.504248742
       0.350000000    0.619634307    2.483015186
       0.340000000    0.622540719    2.461600616
       0.330000000    0.625525305    2.439997023
       0.320000000    0.628592373    2.418195793
       0.310000000    0.631746606    2.396187646
       0.300000000    0.634993106    2.373962557
       0.290000000    0.638337446    2.351509672
       0.280000000    0.641785736    2.328817206
       0.270000000    0.645344688    2.305872328
       0.260000000    0.649021705    2.282661029
       0.250000000    0.652824981    2.259167958
       0.240000000    0.656763616    2.235376242
       0.230000000    0.660847763    2.211267260
       0.220000000    0.665088799    2.186820380
       0.210000000    0.669499533    2.162012640
       0.200000000    0.674094461    2.136818358
       0.190000000    0.678890092    2.111208662
       0.180000000    0.683905337    2.085150900
       0.170000000    0.689162022    2.058607908
