55853.45804	1.0   1.0
55855.11504	1.0   1.0
55856.76864	1.0   1.0
55858.42330	1.0   1.0
55860.08117	1.0   1.0
55861.73577	1.0   1.0
55863.39078	1.0   1.0
55865.04531	1.0   1.0
55866.70049	1.0   1.0
55868.35816	1.0   1.0
55870.01411	1.0   1.0
55871.66941	1.0   1.0
55873.32318	1.0   1.0
55874.98005	1.0   1.0
55876.63459	1.0   1.0
55878.29126	1.0   1.0
55879.94572	1.0   1.0
55881.60000	1.0   1.0
55883.25802	1.0   1.0
55884.91246	1.0   1.0
55886.56720	1.0   1.0
55888.22372	1.0   1.0
55889.87828	1.0   1.0
55891.53450	1.0   1.0
55893.19055	1.0   1.0
55894.84473	1.0   1.0
55898.15709	1.0   1.0
55899.81131	1.0   1.0
55901.46757	1.0   1.0
55906.43482	1.0   1.0
55908.08966	1.0   1.0
55909.74413	1.0   1.0
55911.40051	1.0   1.0
55913.05519	1.0   1.0
55914.71112	1.0   1.0
55916.36773	1.0   1.0
55918.02118	1.0   1.0
55919.67603	1.0   1.0
55921.33377	1.0   1.0
55922.98809	1.0   1.0
55924.64381	1.0   1.0
55926.29937	1.0   1.0
55927.95367	1.0   1.0
55929.61097	1.0   1.0
55931.25927	1.0   1.0
55932.91979	1.0   1.0
55934.57626	1.0   1.0
55936.23219	1.0   1.0
55937.88708	1.0   1.0
55939.54362	1.0   1.0
55941.19830	1.0   1.0
55942.85264	1.0   1.0
55944.51053	1.0   1.0
55946.16519	1.0   1.0
55947.82003	1.0   1.0
55949.47499	1.0   1.0
55952.78767	1.0   1.0
55956.09625	1.0   1.0
55957.75244	1.0   1.0
55961.06338	1.0   1.0
55962.72032	1.0   1.0
55964.37468	1.0   1.0
55966.02873	1.0   1.0
55967.68679	1.0   1.0
55969.34123	1.0   1.0
55970.99548	1.0   1.0
55972.65178	1.0   1.0
55974.30634	1.0   1.0
55975.96273	1.0   1.0
55977.61836	1.0   1.0
55979.27290	1.0   1.0
55980.92788	1.0   1.0
55982.58564	1.0   1.0
55984.23945	1.0   1.0
55985.89549	1.0   1.0
55989.20536	1.0   1.0
55990.86246	1.0   1.0
55992.51691	1.0   1.0
55999.13876	1.0   1.0
56000.79514	1.0   1.0
56002.44981	1.0   1.0
56004.10409	1.0   1.0
56005.76203	1.0   1.0
56007.41636	1.0   1.0
56009.07187	1.0   1.0
56010.72705	1.0   1.0
56012.38156	1.0   1.0
56014.03819	1.0   1.0
56017.34823	1.0   1.0
56019.00464	1.0   1.0
56020.66051	1.0   1.0
56022.31560	1.0   1.0
56023.97180	1.0   1.0
56025.62676	1.0   1.0
56027.28085	1.0   1.0
56028.93857	1.0   1.0
56030.59273	1.0   1.0
56032.24814	1.0   1.0
56033.90408	1.0   1.0
56035.55895	1.0   1.0
56037.21525	1.0   1.0
56038.87075	1.0   1.0
56040.52565	1.0   1.0
56042.18118	1.0   1.0
56043.83795	1.0   1.0
56045.49196	1.0   1.0
56047.14842	1.0   1.0
56048.80694	1.0   1.0
56050.45751	1.0   1.0
56052.11551	1.0   1.0
56053.76923	1.0   1.0
56055.42425	1.0   1.0
56057.08098	1.0   1.0
56058.73579	1.0   1.0
56060.39141	1.0   1.0
56062.04820	1.0   1.0
56063.70205	1.0   1.0
56065.35705	1.0   1.0
56067.01465	1.0   1.0
56068.66852	1.0   1.0
56070.32430	1.0   1.0
56071.97985	1.0   1.0
56073.63423	1.0   1.0
56075.29199	1.0   1.0
56076.94626	1.0   1.0
56080.25733	1.0   1.0
56081.91296	1.0   1.0
56083.56770	1.0   1.0
56085.22396	1.0   1.0
56086.87885	1.0   1.0
56088.53359	1.0   1.0
56090.19122	1.0   1.0
56091.84499	1.0   1.0
